模組,項目,分類,說明
多語系,語言包,系統,"多語系架構。
- 繁體中文、英文。
- 前端依照語言版本寫入對應的固定文案。
- 前端變數欄位讀取後端 API 提供的資料。
- 後台管理介面切換語言欄位。"
基本,首頁,頁面,網站的首個頁面，用於「入口導流」及「重要資訊看板」，核心目標是讓受眾一眼掌握關鍵資訊，並快速導向主要功能。
基本,首頁輪播管理,後台,"編輯管理首頁上方的主視覺輪播圖片。
- 上傳圖片。
- 設定標題、連結。
- 支援拖曳排序與上下架。"
基本,聯絡我們,頁面,"提供明確的聯絡入口給目標受眾，整合多元聯絡方式與線上表單，提升諮詢轉換率，同時強化品牌專業與可信度。
- 聯絡資訊（例如客服專線、地址或 Email 等）。
- 線上留言表單。
- 提交留言需通過防機器人驗證。"
基本,留言查看,後台,"查看使用者於前台提交的所有留言，協助快速分類、判讀與追蹤處理狀態。
- 顯示姓名、電話或 Email 等欄位。
- 完整顯示留言詳細內容。
- 狀態標示（未處理／已處理）。
- 內部備註，僅供後台管理使用，不顯示於前台。"
基本,防機器人留言驗證,系統,安裝 reCAPTCHA 套件，使用者留言時進行防機器人驗證。
基本,即時客服按鈕,系統,"安裝常駐按鈕，供點擊開啟社群媒體。
- Messenger。
- LINE。"
基本,Sitemap XML,系統,系統每日自動更新 Sitemap XML 檔案，包含所有前台頁面或後台新增的頁面。可用於向 Google 提交，主動申請爬蟲抓取網站頁面。
基本,404,頁面,使用者誤入不存在的頁面位置，引導至 404 頁面引導返回首頁，有助於 SEO 加分。
產品,產品列表,頁面,清單頁面陳列產品服務，顯示各項產品服務的概略資訊，可以點擊進入內頁查看更詳細資訊。
產品,產品內頁,頁面,進入產品頁面查看詳細資訊，包含圖片、金額、詳細介紹等，以及加入購物車按鈕。
產品,產品分類設定,後台,設定產品的分類，供編輯管理內容時選擇。
產品,產品管理,後台,"編輯管理產品的資料欄位與內容。
- 選擇分類。
- 產品資料欄位。
- 編輯器。"
產品,１維規格,系統,產品規格切割為1個維度。例如汽車有顏色這個規格。
部落格,部落格列表,頁面,"部落格文章清單，用於傳達知識、公告事項或活動資訊等，作為進入文章內容的入口。
- 封面圖／標題／日期。
- 分類／標籤。"
部落格,部落格內頁,頁面,"進入部落格文章頁面查看詳細內容。
- 封面圖／標題／日期。
- 分類／標籤。
- 詳細內容。"
部落格,部落格分類設定,後台,設定部落格文章的分類，供編輯管理內容時選擇。
部落格,部落格管理,後台,"編輯管理部落格文章的資料欄位與內容。
- 文章資料欄位。
- SEO 資料欄位。
- 選擇分類。"
活動,簽到功能 QR Code,系統,"QR Code 簽到方式。
- 管理者掃描使用者的 QR Code 確認報到。
- 使用者掃描管理者的 QR Code 進行簽到。"
常見問題,常見問題,頁面,"回答受眾經常提出的問題，提供快速且清晰的解答，提高使用者體驗。
- 分類
- 問題／答案"
常見問題,常見問題分類設定,後台,設定常見問題的分類，供編輯管理內容時選擇。
常見問題,常見問題管理,後台,"編輯管理常見問題的資料欄位與內容。
- 選擇分類。
- 問題與答案。"
靜態頁面,關於我們,頁面,呈現資訊的靜態頁面圖文。
靜態頁面,隱私權政策,頁面,呈現資訊的靜態頁面圖文。
靜態頁面,服務條款,頁面,呈現資訊的靜態頁面圖文。
註冊登入,註冊,頁面,"供會員註冊啟用帳號的頁面。
- 會員註冊資料欄位填寫。
- Email 驗證。"
註冊登入,註冊成功,頁面,會員註冊成功的文案。
註冊登入,登入,頁面,"會員使用網站服務前的登入介面。
- 帳號密碼登入。
- 第三方登入。"
註冊登入,忘記密碼,頁面,系統將於輸入 Email 後發送重設密碼連結。
註冊登入,重設密碼,頁面,透過忘記密碼動線發送至 Email 的連結重設密碼。
註冊登入,登入註冊模組,系統,"登入與註冊的系統動線
- 登入驗證身份、帳號密碼加密。
- 註冊驗證身份、建立會員資料。"
註冊登入,忘記密碼動線,系統,"使用者透過忘記密碼功能重設密碼。
- Email 驗證會員資料及驗證輸入正確性。
- 系統寄信。
- 啟動重設密碼。"
註冊登入,第三方登入,系統,"透過社群媒體快速登入。
- Facebook。
- Google。
- Apple。"
會員,會員中心,頁面,"顯示會員資料及各項功能入口。
- 會員資料欄位修改。
- 修改密碼。
- 其他重要資訊。"
會員,我的收藏,頁面,已收藏的產品清單。
會員,會員管理,後台,"管理會員資料及顯示相關狀態。
- 會員資料欄位修改，及查看訂單或報名等相關資訊。
- 設定帳號密碼。
- 停權復權功能，被停權的會員將無法登入。"
會員,黑名單管理,後台,"- 黑名單審核（顯示觸發條件）。
- 黑名單清單。
觸發黑名單條件的使用者會先被丟入審核區，由管理者審核是否確定丟入黑名單，後續可以移出黑名單。"
會員,黑名單觸發條件,系統,xxx。
購物結帳,購物車,頁面,陳列被加入購物車的產品，顯示每個產品的資訊與單價，加總金額統計，並可點擊進入結帳動線。
購物結帳,結帳,頁面,再次確認即將結帳的產品、統計金額及購買人資訊，點擊確認結帳後將引導至金流付款。
購物結帳,結帳成功,頁面,付款成功的文案頁面。
購物結帳,訂單紀錄列表,頁面,"顯示會員相關消費訂單紀錄及付款狀態。
- 訂單概略資訊。
- 未付款訂單可點擊結帳按鈕。"
購物結帳,訂單紀錄內頁,頁面,進入訂單內頁查看詳細內容，包含產品資訊與訂單總計。
購物結帳,訂單管理,後台,"查看訂單詳細資訊。
- 顯示訂單資料，並可寫上備註。
- 訂單狀態根據金流付款自動調整，也供管理者手動調整。"
購物結帳,購物車結帳動線,系統,"商品加入購物車到完成結帳的完整動線。
- 加⼊購物⾞。
- 購物⾞商品轉拋結帳。
- 結帳後⽣成訂單。
- 商品庫存數量扣除訂單數量。
- 商品庫存數量不足時須阻擋結帳。
- 訂單生命週期。"
文件繪製,PDF 格式,系統,PDF 匯出的格式繪製，用於報告資料匯出。
管理者,設定管理者,後台,"新增管理者並設定權限。
- 設定帳號密碼。
- 編輯資料欄位。
- 設定管理權限（以各項管理功能劃分）。
- 停權復權。"
金物流,綠界金流,系統,"串接綠界金流功能。
- 信用卡。
- ATM。"
金物流,綠界物流,系統,"串接綠界物流功能。
- 宅配。"
金物流,綠界電子發票,系統,"串接綠界電子發票功能。
- 二聯式。
- 三聯式。"
運費,運費管理,後台,"編輯管理產品的運費。
- 運費級距。
- 免運費門檻。"
通知提醒,APP Push,系統,"客戶自行註冊 Firebase 帳號，普魯士設定 APP 推播觸發。
設定各項功能的通知事件，當觸發時系統寄出 APP 推播通知。"
通知提醒,Web Push,系統,xxx
通知提醒,LINE Massaging,系統,"客戶自行註冊，訊息收費額度請參考 https://tw.linebiz.com/service/account-solutions/line-official-account/。
設定各項功能的通知事件，當觸發時系統寄出 LINE 通知。"
通知提醒,twsms,系統,"需預先儲值點數，每次發送簡訊扣除點數，點數費用請參考 https://www.twsms.com/。
設定各項功能的通知事件，當觸發時系統寄出簡訊通知。"
通知提醒,MailGun,系統,"客戶自行註冊並綁定信用卡，信件收費額度請參考 https://www.mailgun.com/pricing/。
設定各項功能的通知事件，當觸發時系統寄出 Email 通知。"
通知提醒,Gmail,系統,"客戶自行註冊 Google 帳號，每日免費發信額度為500封。
設定各項功能的通知事件，當觸發時系統寄出 Email 通知。"
行銷優惠,商品折價,後台,"- 新增刪除編輯、輸入活動名稱、設定起訖日期。
- 設定折價金額或％、消費門檻金額。
- 指定折價對象為商品或分類。"
行銷優惠,優惠券,後台,"- 新增刪除編輯、輸入活動名稱、設定起訖日期。
- 設定折價金額或％、消費門檻金額。
- 指定折價對象為商品或分類。
- 篩選派發會員名單條件。
［註］派發會員名單意為這張優惠券要派發給哪些會員。"
行銷優惠,優惠代碼,後台,"- 新增刪除編輯、輸入活動名稱、設定起訖日期。
- 設定折價金額或％、消費門檻金額。
- 指定折價對象為商品或分類。
- 設定使用名額、設定每人可使用次數。
［註］使用名額意為先搶先贏。"
行銷優惠,組合銷售,後台,"- 新增刪除編輯、輸入活動名稱、設定起訖日期。
- 設定折價金額或％。
- 指定組合商品、設定門檻數量。
［註］門檻數量意為被指定的組合商品內需要購買幾個。"
行銷優惠,新會員優惠券,後台,"- 新增刪除編輯、輸入活動名稱、設定起訖日期。
- 設定折價金額或％、消費門檻金額。
- 指定折價對象為商品或分類。
- 派發給新註冊會員、設定開通註冊後幾天內使用。
- 輸入發放優惠券時的信件內容。
［註］起訖日期意為那段期間內才有發放優惠券給新會員。"
行銷優惠,購物金,後台,"- 新增刪除編輯。
- 輸入級距名稱、設定滿額多少可得N點購物金。"
行銷優惠,聯盟行銷優惠代碼,後台,"- 新增刪除編輯、輸入活動名稱、設定起訖日期。
- 設定折價金額或％、消費門檻金額。
- 指定折價對象為商品或分類。
- 自行輸入優惠代碼 or 系統隨機產生優惠代碼。
- 設定夥伴分潤%、統計總結帳金額。"
數據,數據埋設,後台,"預留數據埋設空格，可自行於 <head> 和 <body> 埋入追蹤碼。通常用於埋設 Facebook Pixel 、 Google Tag Manager 及 Google Analytics 4，如果有 GTM 按鈕事件或其他特殊事件需要另外安裝，則另外討論報價。
數據追蹤碼由客戶自行申請。"
數據,Google Search Console,系統,設定 Search Console 權限，用於查看點擊次數、曝光次數、平均點閱率，以及主動向 Google 提交 Stiemap 推進被爬蟲進度。
數據,Facebook Pixel,系統,安裝 Facebook Pixel，用於追蹤使用者互動行為（如頁面瀏覽、按鈕點擊等），以便日後投放 Facebook 廣告時進行再行銷與成效追蹤
數據,Google Tag Manager,系統,安裝 Google Tag Manager，作為統一管理網站上各類追蹤碼的工具，方便日後新增或調整追蹤標籤（如 GA4、轉換事件等）而不需修改原始碼。
數據,Google Analytics 4,系統,埋設 Google Analytics 4，用於追蹤統計分析使用者瀏覽量等數據。
基本,垃圾信件判斷,系統,安裝 Akismet 套件，判斷留言是否為廣告垃圾信件。
文件繪製,Excel 格式,系統,"頁面或後台管理，需要採用 Excel 操作匯入或匯出功能時所需的繪製資料表格式。
#### Excel 匯入格式
- xxx, xxx, ...
#### Excel 匯出格式
- xxx, xxx, ..."