分組,項目名稱,說明,分類,備註
基本,固定邊框,"在 APP 的每個頁面固定顯示的 Header 與 Footer 導覽列。
- Header（頂部導覽）：包含「通知中心（小鈴鐺）」與「設置（齒輪）」入口。
- Footer（底部導覽）：包含「首頁」、「生成圖片」、「儲值與使用紀錄」等主要功能頁面切換選單。",APP,
基本,首頁,"使用者登入 APP 後的主資訊儀表板。
- 點數與用量板塊：即時顯示「剩餘點數」、「本月已使用點數」、「近90日平均每30日使用點數」。
- 快捷操作按鈕：提供高亮點擊動線「開始 AI 生成內容」與「前往儲值」。
- 連線狀態顯示：提示目前手機是否已成功連線至對地投影顯示燈（例如顯示「MH-123456 已連接」），並可引導切換或連結設備。",APP,
基本,裝置資訊,"提供對地投影顯示燈的連線與硬體辨識資訊。
- 裝置識別碼：顯示裝置唯一 ID（格式如：MH-MAC_ADDRESS_123456）。
- 網路資訊：顯示該投影顯示燈自動建立的 Wi-Fi 名稱（SSID，如：MH-123456）與連線密碼（如預設：12345678），方便使用者手動或複製連線。
- 多裝置管理（方案A支援）：列表顯示並可管理多個對地投影顯示燈的連線，各自獨立控制內容及氣氛燈顏色。",APP,
基本,設置,"APP 全域基礎設定與個人化管理選項。
- 帳號設定與付費方式：綁定或變更付款資訊（信用卡、Apple Pay / Google Pay），檢視使用與扣費歷程。
- 連線與裝置操作指引：收錄完整的設備首次連線引導圖文或常見問題（Q&A）。
- 系統偏好與通知：推播通知開關設定，以及帳號登出、隱私權政策與服務條款查閱。",APP,
AI 圖片生成,生成圖片清單,"AI 生成的歷史紀錄與成品圖庫庫存圖。
- 圖庫列表介面：存放並顯示多組歷史生成的圖片/影片列表（縮圖網格或列表呈現）。
- 點數提示：頁面角落常駐「目前剩餘點數」，讓使用者在準備新生成前隨時掌握餘額。
- 清單操作：點擊單一項目即可預覽，並支援「重新傳送至設備」或「刪除該項目」等管理功能。",APP,
AI 圖片生成,生成圖片編輯,"APP 核心生成與硬體傳輸操作介面。
- AI 指令輸入區：提供「輸入文字描述（Prompt）」與「語音轉文字輸入」兩種指令輸入方式。
- 生成參數設定：可選擇欲生成的產出格式為「圖片」或「影片」。
- 結果預覽與重製：顯示 AI 生成結果（需扣除對應點數），並提供「置換圖片 / 重新生成」之退回按鈕。
- 硬體傳輸控制鈕：提供「傳送圖片（或影片）」按鈕將畫面無線投屏至設備；同時提供「傳送主色」按鈕，讓硬體的氣氛燈依據該圖片主色段進行變更。",APP,
AI 圖片生成,AI 生成中介 API,"串接 AI 圖像與影片生成請求之後端中介服務。
- CometAPI 金鑰集中管理。
- 支援多種生成模型選擇。
- 不同模型對應不同成本與售價設定。
- 生成成功 / 失敗狀態回傳。
- 提供生成完成事件作為後續扣費依據。
* 第三方 AI 工具所產生的成本不在普魯士負擔範圍內。",系統,
AI 圖片生成,AI 內容審核機制,過濾不雅及敏感關鍵字，及配合串接之第三方 AI 過濾政策。,系統,
註冊登入,註冊,"供會員註冊啟用帳號的頁面。
- 會員註冊資料欄位填寫。
- Email 驗證。",APP,推測需要新增的系統介面。
註冊登入,註冊成功,會員註冊成功的文案。,APP,推測需要新增的系統介面。
註冊登入,登入,"會員使用網站服務前的登入介面。
- 帳號密碼登入。
- 第三方登入。",APP,推測需要新增的系統介面。
註冊登入,忘記密碼,系統將於輸入 Email 後發送重設密碼連結。,APP,推測需要新增的系統介面。
註冊登入,重設密碼,透過忘記密碼動線發送至 Email 的連結重設密碼。,APP,推測需要新增的系統介面。
註冊登入,會員註冊與登入,"提供 APP 使用者之帳號系統。
- iOS / Android 共用會員帳號。
- 註冊與登入 API。
- 帳號基本資料管理。
- 身份驗證與存取控管。",系統,
註冊登入,忘記密碼動線,"使用者透過忘記密碼功能重設密碼。
- Email 驗證會員資料及驗證輸入正確性。
- 系統寄信。
- 啟動重設密碼。",系統,
註冊登入,第三方登入,"透過社群媒體快速登入。
- Facebook。
- Google。",系統,
會員,會員中心,"顯示會員資料及各項功能入口。
- 會員資料欄位修改。
- 修改密碼。
- 其他重要資訊。",APP,
會員,會員管理,"管理會員資料及使用者之儲值金額與使用紀錄。
- 設定帳號密碼。
- 會員資料欄位修改。
- 查詢會員餘額。
- 查詢生成使用紀錄。
- 查詢扣費與儲值歷程。",後台,
會員,退款客服,使用者提出退款請求，客服人員收到請求後，進行人工處理。,後台,假設貴司需要退款機制。
用量計費與金流,儲值方案,"提供使用者選購點數的商城型介面。
- 方案列表：列出多個不同梯度的點數儲值套餐（例如小額、中額與高額回饋方案）。
- 方案說明：清楚標示各方案對應的台幣/美金售價以及實際可購得之點數，並附帶計費原則提示（未產出成功不扣款）。",APP,
用量計費與金流,儲值確認,"結帳前的最終確認與付款介面。
- 訂單明細確認：顯示欲購買的儲值方案明細及應付總金額。
- 付款方式選擇：帶入用戶預設或重選支援之付款選項（Apple Pay / Google Pay / 信用卡等）。
- 金流串接啟動：點擊確認後即轉接至 iOS IAP 或 Android Google Play Billing 完成授權機制，成功後即時更新全域點數餘額。",APP,
用量計費與金流,方案管理,"上架多個方案供使用者儲值選擇。
- 新增刪除編輯。
- 編輯方案資訊。
- 設定點數與金額。",後台,
用量計費與金流,營運數據,"提供後端與營運監控資料。
- 模型實際成本與營收報表。
- API 呼叫紀錄。
- AI 生成成功率統計。
- 生成失敗與異常狀況紀錄。",後台,
用量計費與金流,iOS IAP,"串接 Apple In-App Purchase 作為 iOS 平台儲值與付款機制。
- IAP 商品類型與商品結構規劃。
- App Store Connect IAP 商品設定。
- Server-side 收據驗證機制。
- 儲值成功事件回傳至後端帳務系統。
- 防重複請款與異常交易處理。
- 配合 Apple 審核需求之付費流程調整。",系統,
用量計費與金流,Android Google Play Billing,"串接 Google Play Billing 作為 Android 平台儲值與付款機制。
- Google Play Billing 商品結構設定。
- Server-side 收據驗證機制。
- 儲值成功事件回傳至後端帳務系統。
- 防重複請款與異常交易處理。
- 配合 Google Play 審核政策之付費流程調整。",系統,
用量計費與金流,儲值與用量計費機制,"建立 APP 之儲值與扣費邏輯。
- 金額制或點數制（實作方式另議）。
- 使用者需先完成儲值後才能進行生成。
- 僅於生成成功完成時才進行扣費，生成失敗或中斷不扣款。計費條件包含「使用模型、生成類型（圖片／影片）、實際生成次數」。",系統,
用量計費與金流,跨平台帳務整合,"整合 iOS 與 Android 之儲值與帳務資料。
- Apple IAP 收據後端驗證。
- Google Play Billing 收據後端驗證。
- iOS / Android 共用帳務與用量系統。
- 防重複扣費與異常交易處理。",系統,
API,API 架構建置,"建置後端伺服器，作為 APP 與 AI 生成平台之中介系統。
- iOS / Android 共用後端 API 架構。
- APP 不直接存放或呼叫第三方 AI 金鑰。
- 統一由後端轉發 AI 生成請求。
- API 權限與安全性控管。",系統,
API,API 串接,將 APP 所有功能與後端相關的功能，進行前後端串接。,系統,
通知提醒,Gmail,"客戶自行註冊 Google 帳號，每日免費發信額度為500封。
設定各項功能的通知事件，當觸發時系統寄出 Email 通知。",系統,
部署與交付,原始 APP 程式碼重構,將客戶已開發之程式碼重新調整結構。,-,應該會需要這麼做。
部署與交付,後端部署與環境建置,"建置專案正式運作環境。
- 正式環境與測試環境。
- 環境變數與金鑰管理。
- 基本資安設定（如請求限制）。",-,
部署與交付,文件交付,"提供專案交付所需文件。
- API 文件。
- 系統架構說明。
- 管理後台操作說明。
- 上架與審核流程紀錄。",-,
上架與審核,iOS 上架與審核,"協助 iOS APP 上架至 Apple App Store，並處理相關審核流程。
- App Store Connect 專案設定。
- App Metadata（名稱、描述、截圖、隱私說明）技術協助。
- 協助提交審核與第一次審核溝通。
- 審核退件時之原因分析與修正建議。",-,
上架與審核,Android 上架與審核,"協助 Android APP 上架至 Google Play，並處理相關審核流程。
- Google Play Console 專案設定。
- APP Content、Data Safety、隱私相關欄位填寫協助。
- 協助提交審核與退件處理建議。",-,
設計階段,UX 設計,"UX 設計著重在使用邏輯與操作流程，提升使用者的整體體驗與任務完成效率。
- 使用者訪談與需求釐清。
- 制定網站目標、邏輯規則與動線流程。
- 功能規劃與頁面結構整理，並繪製 Wireframe 作為後續 UI 設計依據。
- WireFrame 繪製工具為 Figma。",-,重新梳理整個 APP 及管理後台的動線。
設計階段,UI 設計,"UI 設計專注於視覺呈現與介面細節，強化品牌感並提升用戶的第一印象。
- 根據品牌定位與 UX 成果設計視覺風格。
- 設計稿繪製工具為 Figma。
- 初版會先挑1個頁面來確認風格，風格調整最多3次。",-,為新增的頁面畫稿，以及重新為既有畫面統一視覺風格。
其他,操作手冊,供使用者閱覽的操作手冊。,-,