分類,項目,26M03,26M02,26M01,25M12,25M11,25M10,25M09,25M08,25M07,25M06,25M05,25M04,25M03,25M02,25M01,24M12,24M11,24M10,24M09,24M08,24M07,24M06,24M05,24M04,24M03,24M02,24M01,23M12,23M11,23M10,23M09,23M08,23M07,23M06,23M05,23M04,23M03,23M02,23M01,22M12,22M11
月營收,營收（億）,-,3.73,4.17,4.23,4.2,4.11,3.89,3.75,3.54,3.51,3.23,3,2.92,2.6,2.19,2.56,2.52,2.52,3.18,3.75,4.09,4.26,4.34,4.47,4.41,4.25,4.2,3.88,3.55,3.26,2.87,2.66,2.32,2.11,1.97,1.19,1.18,1.05,1.19,1.26,1.25
月營收,月增 %,-,-10.6,-1.29,0.73,2.24,5.51,3.88,5.93,0.63,8.7,7.77,2.69,12.2,18.6,-14.2,1.68,-0.25,-20.7,-15,-8.42,-4.03,-1.86,-2.7,1.25,3.69,1.29,8.08,9.3,9.06,13.6,7.94,14.6,9.83,7.04,66.1,0.59,12.5,-11.6,-6.1,1.43,1.21
月營收,年增 %,-,43.3,90.2,65.2,66.8,62.7,22.2,-0.02,-13.6,-17.6,-25.6,-32.8,-33.8,-38.8,-47.7,-34.1,-29.2,-22.6,11,41,76.4,101.9,120.2,276,273.6,305.2,253.8,207.4,185.2,164.7,53.8,34.1,12.6,3.65,0.11,-36.5,-35.2,-42.3,-51.9,-63.3,-70.7
本益比,目前本益比,37.35,36.61,33.33,31.7,35.16,43.93,54.5,59.84,58.06,54.86,48.55,42.16,41.16,44.98,39.68,41.7,35.03,29.65,31.79,33.66,30.72,39.3,39.18,48.31,57.37,78.03,111,311.9,3475,-,-,-,-,-,-,-,-,-,-,972.9,134.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-