分類,月營收,月營收,月營收,本益比
項目,營收（億）,月增 %,年增 %,目前本益比
2026/03,-,-,-,37.35
2026/02,3.73,-10.6,43.3,36.61
2026/01,4.17,-1.29,90.2,33.33
2025/12,4.23,0.73,65.2,31.7
2025/11,4.2,2.24,66.8,35.16
2025/10,4.11,5.51,62.7,43.93
2025/09,3.89,3.88,22.2,54.5
2025/08,3.75,5.93,-0.02,59.84
2025/07,3.54,0.63,-13.6,58.06
2025/06,3.51,8.7,-17.6,54.86
2025/05,3.23,7.77,-25.6,48.55
2025/04,3,2.69,-32.8,42.16
2025/03,2.92,12.2,-33.8,41.16
2025/02,2.6,18.6,-38.8,44.98
2025/01,2.19,-14.2,-47.7,39.68
2024/12,2.56,1.68,-34.1,41.7
2024/11,2.52,-0.25,-29.2,35.03
2024/10,2.52,-20.7,-22.6,29.65
2024/09,3.18,-15,11,31.79
2024/08,3.75,-8.42,41,33.66
2024/07,4.09,-4.03,76.4,30.72
2024/06,4.26,-1.86,101.9,39.3
2024/05,4.34,-2.7,120.2,39.18
2024/04,4.47,1.25,276,48.31
2024/03,4.41,3.69,273.6,57.37
2024/02,4.25,1.29,305.2,78.03
2024/01,4.2,8.08,253.8,111
2023/12,3.88,9.3,207.4,311.9
2023/11,3.55,9.06,185.2,3475
2023/10,3.26,13.6,164.7,-
2023/09,2.87,7.94,53.8,-
2023/08,2.66,14.6,34.1,-
2023/07,2.32,9.83,12.6,-
2023/06,2.11,7.04,3.65,-
2023/05,1.97,66.1,0.11,-
2023/04,1.19,0.59,-36.5,-
2023/03,1.18,12.5,-35.2,-
2023/02,1.05,-11.6,-42.3,-
2023/01,1.19,-6.1,-51.9,-
2022/12,1.26,1.43,-63.3,972.9
2022/11,1.25,1.21,-70.7,134.6