分類,資產,資產,資產,資產,資產,資產,資產,資產,資產,資產,負債,負債,負債,負債,負債,股東,股東,獲利,獲利,獲利,獲利,獲利,獲利,獲利,現金流量,現金流量,現金流量,現金流量,現金流量,現金流量,資產,資產,資產,資產,資產,資產,資產,資產,負債,負債,負債,負債,股東,獲利,獲利,獲利,獲利,獲利,獲利,獲利,獲利
項目,現金（億）,應收帳款（億）,存貨（億）,流動資產（億）,基金投資（億）,固定資產（億）,無形資產（億）,其他資產（億）,資產總額（億）,每股淨值 BPS,應付帳款（億）,流動負債（億）,長期負債（億）,其他負債（億）,負債總額（億）,股本,股東權益（億）,營業收入（億）,營業毛利（億）,營業利益（億）,業外損益（億）,稅後淨利（億）,近四季 EPS,每股盈餘 EPS,營業活動（億）,投資活動（億）,融資活動（億）,其他活動（億）,淨現金流（億）,自由金流（億）,現金 %,應收帳款 %,存貨 %,流動資產 %,基金投資 %,固定資產 %,無形資產 %,其他資產 %,應付帳款 %,流動負債 %,長期負債 %,其他負債 %,股東權益 %,營業毛利 %,營業利益 %,業外損益 %,稅後淨利 %,單季ROE %,年化ROE %,單季ROA %,年化ROA %
2026Q1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025Q4,34.5,6.98,9.23,55.7,-,47.9,0.24,0.53,105,41.9,5.02,15.1,6.98,0.84,22.9,19.7,82.3,12.5,3.81,2.78,0.27,2.61,3.36,1.33,2.88,6.34,0.83,0,10.1,9.23,32.8,6.63,8.77,52.9,-,45.5,0.23,0.5,4.77,14.3,6.63,0.8,78.2,30.4,22.2,2.16,20.8,3.22,12.9,2.52,10.1
2025Q3,24.4,6.04,8.35,51.3,-,48.4,0.22,0.85,102,40.6,5.54,12.7,8.34,0.86,21.9,19.7,79.7,11.2,3.15,2.22,0.39,2.18,2.11,1.11,4.56,-12.4,-1.97,0,-9.82,-7.85,24.1,5.94,8.21,50.5,-,47.6,0.22,0.83,5.45,12.5,8.21,0.85,78.5,28.2,19.9,3.53,19.5,2.77,11.1,2.17,8.69
2025Q2,34.3,5.92,7.48,48,-,49.6,0.1,0.49,99.1,39.5,6.65,11.7,9.02,0.88,21.6,19.7,77.5,9.74,2.32,1.58,-0.42,0.99,1.42,0.5,3.27,1.69,0.78,0,5.74,4.97,34.6,5.97,7.54,48.4,-,50.1,0.1,0.5,6.71,11.8,9.1,0.88,78.2,23.8,16.3,-4.31,10.2,1.28,5.14,1.01,4.04
2025Q1,28.5,5.81,7.59,44.5,-,50.2,0.11,0.89,96.7,39,5.46,10,9.21,0.89,20.1,19.7,76.6,7.72,1.61,0.79,0.18,0.83,1.98,0.42,2.36,-2.7,0.6,0,0.26,-0.34,29.5,6.01,7.85,46.1,-,52,0.11,0.93,5.64,10.4,9.52,0.92,79.2,20.9,10.2,2.34,10.7,1.07,4.27,0.86,3.43
2024Q4,28.3,5.53,8.11,42.2,-,51.5,0.14,0.89,95.6,39.7,3.77,7.75,8.92,0.91,17.6,19.7,78.1,7.6,0.42,-0.34,0.35,0.16,2.65,0.08,5.58,-1.58,0.72,0,4.71,4,29.5,5.78,8.48,44.1,-,53.8,0.14,0.93,3.94,8.1,9.32,0.95,81.6,5.51,-4.43,4.63,2.13,0.21,0.83,0.17,0.68
2024Q3,23.5,7.52,9.02,40.6,-,51.6,0.07,1.12,94.4,39.6,3.03,7.65,7.88,0.93,16.5,19.7,77.9,11,1.89,0.97,-0.03,0.82,3.34,0.42,4.27,-1.65,-0.22,0,2.39,2.61,25,7.97,9.56,43,-,54.7,0.07,1.19,3.21,8.11,8.35,0.98,82.6,17.1,8.8,-0.3,7.41,1.05,4.22,0.86,3.43
2024Q2,21.2,9.06,11,41.9,-,51.1,0.05,2.2,96.1,39.2,6.58,11.2,6.91,0.94,19.1,19.7,77.1,13.1,3.38,2.4,0.05,2.09,3.55,1.06,2.03,-1.43,1.81,0,2.42,0.61,22,9.42,11.5,43.5,-,53.1,0.05,2.29,6.85,11.7,7.19,0.98,80.2,25.9,18.4,0.39,16,2.71,10.9,2.21,8.86
2024Q1,18.7,8.02,11,38.4,-,50.6,0.07,2.57,92.6,39.2,4.92,8.98,5.7,0.98,15.7,19.7,77,12.9,3.17,2.22,0.35,2.14,2.5,1.09,0.61,-3.55,1.88,0,-1.06,-2.94,20.2,8.66,11.9,41.4,-,54.7,0.07,2.77,5.31,9.7,6.15,1.06,83.1,24.6,17.2,2.72,16.6,2.82,11.3,2.37,9.48
2023Q4,19.8,5.17,9.73,35.7,-,49.7,0.07,1.52,88,38.1,4.48,8.28,3.98,0.93,13.2,19.7,74.8,10.7,2.6,1.67,-0.05,1.52,0.41,0.77,-0.56,-1.25,1.11,0,-0.7,-1.81,22.5,5.88,11.1,40.6,-,56.5,0.08,1.73,5.09,9.41,4.52,1.06,85,24.3,15.6,-0.47,14.2,2.06,8.23,1.77,7.09
2023Q3,20.5,3.7,6.95,31.6,-,50.1,0.08,1.15,83.9,37.3,4.74,6.6,3.07,0.92,10.6,19.7,73.3,7.84,1.93,1.08,0.18,1.24,-0.74,0.63,0.65,-0.87,1.09,0,0.86,-0.22,24.4,4.41,8.29,37.7,-,59.7,0.09,1.37,5.65,7.87,3.66,1.1,87.4,24.7,13.8,2.23,15.8,1.71,6.83,1.51,6.04
2023Q2,19.6,2.58,4.82,27.4,-,50.6,0.1,1.35,80.4,36.7,3.9,5.32,2.1,0.94,8.36,19.7,72.1,5.27,0.79,-0.1,0.11,0.02,-1.3,0.01,1.2,-1.04,1.49,0,1.65,0.16,24.4,3.21,6,34,-,63,0.12,1.68,4.84,6.61,2.61,1.17,89.6,15,-1.84,2.18,0.37,0.03,0.11,0.02,0.1
2023Q1,18,1.82,3.03,23.1,-,51,0.12,1.37,76.5,36.7,1.96,2.92,0.6,0.96,4.47,19.7,72,3.42,-1.18,-1.98,0.02,-1.96,-1.18,-1,0.08,-1.82,0.59,0,-1.15,-1.74,23.5,2.38,3.96,30.1,-,66.7,0.16,1.79,2.56,3.81,0.78,1.25,94.2,-34.5,-57.9,0.67,-57.3,-2.68,-10.7,-2.52,-10.1
2022Q4,19.1,1.82,3.81,26.9,-,49.4,0.15,1.62,79,37.6,3.86,4.08,0,0.12,5.05,19.7,74,3.74,0.2,-0.71,-0.13,-0.74,0.06,-0.38,1.92,-1.72,-0.01,0,0.19,0.2,24.2,2.3,4.81,34,-,62.5,0.18,2.05,4.89,5.17,0,0.15,93.6,5.35,-18.9,-3.54,-19.9,-1,-4.01,-0.94,-3.75
2022Q3,18.9,3.36,3.86,28.3,-,48.6,0.17,1.67,79.7,38,3.8,4.03,0,0.12,5.02,19.7,74.7,5.91,0.72,-0.24,0.39,0.14,1.53,0.07,1.58,-2.2,-5.52,0,-6.14,-0.62,23.8,4.22,4.84,35.5,-,60.9,0.21,2.09,4.76,5.06,0,0.15,93.7,12.1,-4.13,6.6,2.32,0.18,0.74,0.17,0.66
2022Q2,25.1,2.84,4.93,35.3,-,47.8,0.16,1.78,86.1,38,9.75,10.5,0,0.12,11.5,19.7,74.6,5.88,1.13,0.16,0.16,0.26,2.76,0.13,1.46,-2.85,-0.01,0,-1.41,-1.39,29.1,3.3,5.73,41.1,-,55.5,0.18,2.07,11.3,12.2,0,0.14,86.7,19.2,2.68,2.66,4.5,0.34,1.37,0.31,1.23
2022Q1,26.5,3,5.24,37.2,-,46.4,0.16,1.61,86.5,40.6,4.59,5.61,0,0.12,6.62,19.7,79.8,6.11,1.39,0.43,0.1,0.48,3.64,0.24,0.12,-4.12,-0.01,0,-4.01,-4,30.6,3.47,6.06,43.1,-,53.7,0.19,1.87,5.31,6.49,0,0.14,92.3,22.7,6.96,1.65,7.86,0.6,2.41,0.55,2.19
2021Q4,30.5,3.13,5.97,42.1,-,43.3,0.18,2.32,89,40.4,7.5,8.65,-,0.12,9.62,19.7,79.3,12.2,3.66,2.46,0.12,2.14,4.29,1.09,4.83,-5.67,-0.01,0,-0.85,-0.84,34.3,3.52,6.71,47.4,-,48.7,0.21,2.6,8.44,9.73,-,0.13,89.2,30,20.2,0.99,17.5,2.73,10.9,2.41,9.65
2021Q3,31.4,5.41,6.37,45.7,-,35.7,0.17,5.57,88.1,39.3,8.81,9.93,-,0.12,10.9,19.7,77.2,12.8,3.89,2.9,0.01,2.56,4.07,1.3,3.55,-6.88,-5.5,0,-8.82,-3.33,35.6,6.14,7.23,51.8,-,40.5,0.19,6.32,10,11.3,-,0.14,87.6,30.3,22.6,0.08,20,3.38,13.5,2.85,11.4
2021Q2,40.2,5.63,6.09,54.4,-,29.7,0.2,6.37,91.7,38,14.7,16,-,0.1,17,20,74.6,11.5,3.34,2.42,-0.16,1.98,3.66,1.01,1.83,-6.56,-0.01,0,-4.74,-4.72,43.8,6.14,6.64,59.3,-,32.4,0.21,6.94,16,17.5,-,0.11,81.4,29.1,21,-1.39,17.2,2.59,10.4,2.2,8.79
2021Q1,44.9,5.86,5.29,58.4,0,24.2,0.17,4.76,88.5,39.8,7.38,9.34,0,0.1,10.3,20,78.2,10.7,2.97,1.99,0.01,1.76,3.75,0.89,3.78,-4.45,-0.01,0,-0.69,-0.67,50.8,6.63,5.97,66,0,27.3,0.19,5.37,8.34,10.6,0,0.11,88.3,27.9,18.7,0.13,16.5,2.27,9.09,2.02,8.08
2020Q4,45.6,6.17,5.11,59.4,0,21.8,0.21,3.04,85.4,38.9,6.77,8.03,0,0.1,9.04,20,76.4,10.1,2.69,1.85,-0.33,1.44,3.96,0.87,4.32,-3.76,-1.01,0,-0.46,0.56,53.4,7.22,5.99,69.5,0,25.5,0.24,3.56,7.93,9.4,0,0.12,89.4,26.6,18.4,-3.22,14.3,1.91,7.63,1.71,6.84
2020Q3,46.1,7,5.02,60.6,0,18.9,0.21,2.59,83.4,38.2,5.73,6.45,1,0.1,8.48,20,75,8.79,2.71,1.99,-0.12,1.53,4.12,0.89,2.3,-3.13,28.6,0,27.8,-0.83,55.2,8.39,6.02,72.7,0,22.6,0.25,3.1,6.86,7.73,1.2,0.12,89.8,30.8,22.6,-1.36,17.5,2.71,10.8,2.27,9.06
2020Q2,18.3,6.84,4.78,32.3,0,15.6,0.15,2.76,52,25.4,6.82,9.97,2.5,0.08,13.5,15.5,38.5,8.4,2.73,2.08,-0.09,1.66,4.14,1.1,1.05,-2.13,0.59,0,-0.5,-1.09,35.2,13.1,9.18,62.1,0.01,30,0.29,5.31,13.1,19.2,4.81,0.15,74,32.5,24.8,-1.07,19.8,4.27,17.1,3.24,13
2020Q1,18.8,5.89,4.85,32.3,0,14.7,0.17,2.23,50.6,26,5,8.53,1.6,0.08,11.2,15.5,39.4,8.14,2.63,1.84,0.1,1.59,3.5,1.1,0.97,-2.49,8.99,0,7.47,-1.52,37.2,11.6,9.59,63.8,0.01,29.1,0.33,4.4,9.89,16.9,3.16,0.16,77.8,32.3,22.6,1.19,19.5,4.57,18.3,3.5,14
2019Q4,11.3,4.99,4.43,23.6,0,13.7,0.18,1.3,40,21.2,5.75,7.4,1.6,0.06,10,14.5,30,7.81,2.52,1.91,-0.21,1.46,2.54,1.03,2.67,-1.37,0.59,0,1.88,1.29,28.3,12.5,11.1,59,0.01,34.3,0.44,3.25,14.4,18.5,4,0.15,75,32.3,24.4,-2.74,18.7,4.97,19.9,3.8,15.2
2019Q3,9.45,5.29,3.83,22,0,12.3,0.18,0.9,36.6,20.2,4.66,5.46,1.6,0.06,8.09,14.5,28.6,6.66,2.15,1.55,0.06,1.28,1.76,0.91,-0.77,-3.15,-0.84,0,-4.75,-3.92,25.8,14.4,10.4,60.1,0.01,33.7,0.49,2.46,12.7,14.9,4.37,0.16,77.9,32.3,23.3,0.85,19.3,4.6,18.4,3.5,14
2019Q2,14.2,3.43,2.25,23,0,11.9,0.2,0.19,36.8,19.3,7.11,8.24,0,0.06,9.49,14.5,27.3,4.51,1.35,0.77,0.07,0.65,1.17,0.46,0.59,-0.14,0.16,0,0.62,0.45,38.6,9.35,6.11,62.7,0.01,32.4,0.54,0.52,19.3,22.4,0,0.16,74.2,30,17.2,1.62,14.4,2.32,9.26,1.84,7.34
2019Q1,13.6,1.66,1.47,21.1,0,11.1,0.2,0.11,33.9,20.3,2.67,3.55,0.3,0.08,5.14,14.5,28.7,3.1,0.68,0.17,0.08,0.2,1.7,0.14,1.22,-0.19,0.3,0,1.33,1.03,40.1,4.9,4.33,62.2,0.01,32.7,0.59,0.32,7.88,10.5,0.89,0.24,84.8,21.8,5.37,2.7,6.57,0.71,2.84,0.62,2.46
2018Q4,12.3,2.29,1.65,20.6,0,11.2,0.22,0.11,32.3,20.2,2.92,3.69,0,0.08,3.78,14.5,28.5,3.44,0.84,0.33,0.14,0.35,2.11,0.25,1.62,-1.94,0.01,0,-0.31,-0.32,37.9,7.09,5.11,63.8,0.02,34.7,0.69,0.34,9.05,11.4,0,0.25,88.3,24.4,9.61,3.96,10.1,1.23,4.91,1.09,4.35
2018Q3,12.6,2.93,1.7,20.2,0,10.1,0.25,1.04,31.7,19.9,2.82,3.45,0,0.08,3.53,14.4,28.2,4.32,1.05,0.5,0.06,0.45,2.1,0.32,0.72,-0.72,-1.56,0,-1.56,0.01,39.7,9.24,5.36,63.6,0.02,31.8,0.79,3.29,8.88,10.9,0,0.25,88.9,24.4,11.5,1.45,10.4,1.61,6.44,1.37,5.5
2018Q2,14.1,2.46,2.4,22.1,0,10.4,0.09,0.9,33.6,19.6,5.44,5.94,-,0.08,6.04,14.4,27.6,5.96,2.02,1.5,0.22,1.4,2.1,0.99,2.03,-0.96,-0.02,0,1.04,1.06,42,7.3,7.13,65.7,0.01,30.9,0.27,2.67,16.2,17.7,-,0.24,82,33.9,25.2,3.64,23.5,5.02,20.1,4.25,17
2018Q1,13.1,2.29,2.24,20.9,0,10.7,0.03,0.37,32.2,20,3.58,3.96,0,0.06,4.02,14.4,28.1,4.65,1.49,0.95,-0.02,0.77,1.7,0.55,1.49,-0.48,-0.03,0,0.98,1.01,40.7,7.11,6.96,65.1,0.02,33.1,0.11,1.16,11.1,12.3,0,0.19,87.5,32.1,20.3,-0.43,16.6,2.77,11.1,2.45,9.78
2017Q4,12.1,2.63,1.39,19.3,0,11.1,0.04,0.14,30.8,19.4,3.06,3.34,-,0.06,3.4,14.4,27.4,3.67,0.96,0.45,-0.05,0.33,1.58,0.24,0.96,-0.19,-0.03,0,0.74,0.77,39.4,8.54,4.54,62.9,0.02,36,0.13,0.47,9.95,10.9,-,0.2,88.9,26.1,12.1,-1.24,9.09,1.23,4.91,1.1,4.39
2017Q3,11.4,2.25,1.29,18.2,0,11.5,0.04,0.12,30,19.2,2.68,2.91,-,0.06,2.97,14.3,27,3.77,1.01,0.54,0.01,0.45,1.72,0.32,1.15,-0.16,-3.37,0,-2.38,0.99,37.9,7.52,4.32,60.7,0.02,38.2,0.15,0.41,8.94,9.71,-,0.2,90.1,26.8,14.3,0.16,12,1.7,6.81,1.43,5.71
2017Q2,13.7,2.86,1.48,21.4,0,12,0.05,0.1,33.7,18.8,6.55,7.21,0.04,0.04,7.29,14.3,26.4,4.76,1.48,0.97,0.03,0.82,1.57,0.59,1.06,-0.17,0.11,0,1,0.89,40.8,8.49,4.39,63.4,0.01,35.6,0.15,0.3,19.5,21.4,0.12,0.12,78.3,31,20.4,0.67,17.3,2.98,11.9,2.49,9.98
2017Q1,12.7,1.48,1.69,19.7,0,12.3,0.06,0.16,32.4,20.7,2.88,3.37,0.08,0.04,3.5,14.3,28.9,4.41,1.36,0.96,-0.24,0.6,1.83,0.43,1.6,-0.37,-0.02,0,1.21,1.23,39.3,4.56,5.21,60.7,0.02,38,0.18,0.5,8.89,10.4,0.26,0.12,89.2,30.9,21.8,-5.44,13.7,2.11,8.43,1.87,7.5
2016Q4,11.5,1.73,1.58,18.8,0,12.8,0.07,0.06,31.9,20.2,3.1,3.45,0.12,0.04,3.62,14.3,28.3,3.72,0.9,0.5,0.13,0.54,2.77,0.38,2.42,-0.23,-1.71,0,0.48,2.19,36.2,5.44,4.96,59,0.02,40.1,0.21,0.2,9.72,10.8,0.39,0.13,88.6,24.1,13.5,3.62,14.5,1.89,7.56,1.67,6.69
2016Q3,11.1,2.27,1.75,19.1,0,13.1,0.05,0.14,32.6,20.3,2.76,3.56,0.17,0.06,3.79,14,28.8,3.7,0.85,0.43,-0.15,0.24,-,0.17,-0.9,-0.2,-6.35,0,-7.45,-1.1,33.9,6.96,5.37,58.6,0.02,40.3,0.16,0.42,8.45,10.9,0.51,0.18,88.4,22.9,11.8,-3.97,6.6,0.85,3.4,0.66,2.64
2016Q2,18.5,2.18,1.99,27.3,0,13.4,0.06,0.33,41.3,20.2,11.2,12.5,0.21,0.06,12.8,14,28.5,7.06,2.25,1.72,0.03,1.19,-,0.85,0.13,-0.39,-0.2,0,-0.46,-0.26,44.8,5.29,4.82,66.1,0.01,32.5,0.14,0.8,27.1,30.3,0.5,0.15,69.1,31.9,24.3,0.4,16.8,3.8,15.2,2.87,11.5
2016Q1,19,1.98,2.89,27.2,0,13.5,0.06,0.65,41.5,24.1,4.75,7.36,0.25,0.06,7.67,14,33.9,8.25,2.69,2.28,-0.06,1.92,-,1.37,3.61,-0.56,-0.16,0,2.89,3.04,45.7,4.77,6.95,65.4,0.01,32.5,0.14,1.55,11.4,17.7,0.6,0.14,81.5,32.6,27.6,-0.72,23.2,5.83,23.3,4.66,18.7